ID,Name,Description,"Regular price",Categories,Tags,Images,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global"
742,"Roland Jupiter-4","The JP-4 was an analog synthesizer made by Roland Corporation from 1978 to 1981. It was significant as the first self-contained polyphonic synthesizer and for using digital control of analog circuits, known as compuphonic, which allowed for features like programmable memory, voice assignment modes, an arpeggiator, and more.  While it didn't have as many sales as its competitors, its design made it suitable for use with organs and even had the option for a music sheet stand. Its successor, the Jupiter-8, was released in 1981 and became a popular brand.",2895,"Synthesizers > Roland","Analogue, Roland",https://luism.co/wp-content/uploads/2024/02/image_2024-02-24_003046136.png,Dates,"1978 - 1981",1,1,Polyphony,"4 Voices",1,1,"Synthesis type","Analog subtractive",1,1,Keyboard,"49 keys",1,1,,,,,,,,
743,Jupiter-6,,,"Synthesizers > Roland, Uncategorized",,,,,,,,,,,,,,,,,,,,,,,,,,
744,Jupiter-8,,,"Synthesizers > Roland, Uncategorized",,,,,,,,,,,,,,,,,,,,,,,,,,
745,JX-3P,,,"Synthesizers > Roland, Uncategorized",,,,,,,,,,,,,,,,,,,,,,,,,,
746,"Roland JX-8P","The Roland JX-8P, an almost entirely analog synthesizer, was released in 1985 and boasted 61 keys. It featured velocity and aftertouch sensitivity and six-note polyphony. Despite the increasing popularity of digital frequency modulation synthesizers like the Yamaha DX7, the JX-8P offered an optimal mix of both types, optimizing the creation of traditional analog synth sounds, while enabling the production of some FM synthesis-related sounds due to new modulation parameters and redesigned hardware. A Yamaha DX7-style interface with membrane buttons and one ""edit"" slider replaced traditional hands-on controls. The JX-8P's predecessors were the JX-3P and the rack MKS-30. It was one of the last true analog synthesizers produced by Roland in the 1980s, joined later by Alpha Juno 1/2 synths, racks MKS-50 and MKS-70, and then finally the JX-10. The famous opening brass fanfare of Europe's 1986 hit ""The Final Countdown"" was produced through a preset patch layered on a Yamaha TX816 using JX-8P. Eric Persing and Dan DeSouza created the factory presets on the JX-8P.",1695,"Synthesizers > Roland","Analogue, Roland, Synthesizer",https://luism.co/wp-content/uploads/2024/02/image_2024-02-26_220647640-removebg-e1708981905377.png,Polyphony,"6 Voices",1,1,"Synthesis type","Analog subtractive",1,1,"External control",MIDI,1,1,Brand,roland,1,1,Keyboard,"61 notes",1,1,Dates,1985-1989,1,1
747,"JX-10 (Super JX)",,,"Synthesizers > Roland, Uncategorized",,,,,,,,,,,,,,,,,,,,,,,,,,
748,MC-4,,,"Synthesizers > Roland, Uncategorized",,,,,,,,,,,,,,,,,,,,,,,,,,
749,MC-8,,,"Synthesizers > Roland, Uncategorized",,,,,,,,,,,,,,,,,,,,,,,,,,
750,"MC-202 MicroComposer",,,"Synthesizers > Roland, Uncategorized",,,,,,,,,,,,,,,,,,,,,,,,,,
751,"MKS-7 Super Quartet",,,"Synthesizers > Roland, Uncategorized",,,,,,,,,,,,,,,,,,,,,,,,,,
752,"MKS-10 Planet-P",,,"Synthesizers > Roland, Uncategorized",,,,,,,,,,,,,,,,,,,,,,,,,,
753,"MKS-30 Planet-S",,,"Synthesizers > Roland, Uncategorized",,,,,,,,,,,,,,,,,,,,,,,,,,
754,MKS-50,,,"Synthesizers > Roland, Uncategorized",,,,,,,,,,,,,,,,,,,,,,,,,,
755,"MKS-70 Super JX",,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
756,"MKS-80 Super Jupiter",,,"Synthesizers > Roland, Uncategorized",,,,,,,,,,,,,,,,,,,,,,,,,,
758,"MSQ-100 Sequencer",,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
759,"MSQ-700 Sequencer",,,"Synthesizers > Roland",,,,,,,,,,,,,,,,,,,,,,,,,,
760,MT-32,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
761,PG-200,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
762,PG-300,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
763,PG-800,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
764,"Pro-Mars (MRS-2)",,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
765,RS-09,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
766,RS-101,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
767,RS-202,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
768,"RS-505 Paraphonic",,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
769,S-5,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
770,S-10,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
771,S-330,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
772,S-550,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
773,"Saturn 09 (SA-09)",,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
774,SH-1,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
775,SH-2,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
776,SH-3,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
777,SH-5,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
778,SH-7,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
779,SH-09,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
780,SH-101,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
781,SH-1000,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
782,SH-2000,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
783,SPV-355,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
784,"System 100",,,"Uncategorized, Synthesizers > Roland",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
785,"System 100m",,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
786,"System 700",,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
787,TR-66,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
788,TB-303,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
789,TR-505,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
790,TR-606,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
791,TR-626,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
792,TR-707,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
793,TR-727,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
794,TR-808,,,"Synthesizers > Roland",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
795,TR-909,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
796,U-110,,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
797,"VP-330 Vocoder Plus",,,"Synthesizers > Roland, Uncategorized",Roland,,,,,,,,,,,,,,,,,,,,,,,,,
